"","long.fips","long.name","short.fips","year","median.age","hs.plus","bachelors.plus","ag.percent.employ","mean.income","median.income","white.percent","papers.total","papers.daily","ktype_use","k.seats","party.presence","party.comp","general.presence","general.comp","population","pop_density"
"65","610U500US06015","State Senate District 15 (2016), California","6015",2020,37.7,84.8,44.5,0.46,128681,95462,45.8,17,1,"SMD",1,0,0,0,1,974446,NA
"66","610U500US06017","State Senate District 17 (2016), California","6017",2020,37.7,86.3,35.5,4.19,96822,72162,75.96,32,3,"SMD",1,1,1,1,1,971039,NA
"67","610U500US06019","State Senate District 19 (2016), California","6019",2020,34.4,78.8,28.5,8.41,89191,66177,76.65,12,3,"SMD",1,1,1,1,1,958579,NA
"68","610U500US06021","State Senate District 21 (2016), California","6021",2020,33,81.4,18.8,0.53,74926,57139,65.46,91,17,"SMD",1,1,1,1,1,956376,NA
"69","610U500US06023","State Senate District 23 (2016), California","6023",2020,35.3,83.3,21.7,0.95,71286,53329,67.84,102,19,"SMD",1,1,1,1,1,981374,NA
"70","610U500US06025","State Senate District 25 (2016), California","6025",2020,40.6,88.8,42.7,0.29,100773,71309,65.96,91,17,"SMD",1,1,1,1,1,945948,NA
"71","610U500US06027","State Senate District 27 (2016), California","6027",2020,40.6,89,41.7,0.49,117189,84816,71.56,71,13,"SMD",1,1,1,1,1,975199,NA
"72","610U500US06029","State Senate District 29 (2016), California","6029",2020,36.8,84.9,35.6,0.38,94967,73478,55.34,102,19,"SMD",1,1,1,1,1,951101,NA
"73","610U500US06031","State Senate District 31 (2016), California","6031",2020,31.7,77.3,19.7,0.64,77125,61977,56.99,11,2,"SMD",1,1,1,1,1,991722,NA
"74","610U500US06033","State Senate District 33 (2016), California","6033",2020,31.4,62.5,16,0.49,61587,45806,55.32,66,12,"SMD",1,0,0,0,1,938924,NA
"75","610U500US06035","State Senate District 35 (2016), California","6035",2020,33.8,73.1,19.6,0.46,67150,50745,38.12,66,12,"SMD",1,0,0,1,1,958352,NA
"76","610U500US06037","State Senate District 37 (2016), California","6037",2020,38.5,91.8,50.4,0.36,122032,87403,65.91,11,2,"SMD",1,1,1,1,1,992046,NA
"77","610U500US06039","State Senate District 39 (2016), California","6039",2020,35.5,93.8,52.8,0.29,101918,74875,69.98,23,1,"SMD",1,1,1,1,1,974533,NA
"78","610U500US08004","State Senate District 4 (2016), Colorado","8004",2020,37.9,97.6,52.7,0.46,127173,103187,92.29,5,0,"SMD",1,1,1,1,1,156557,NA
"79","610U500US08008","State Senate District 8 (2016), Colorado","8008",2020,37.9,91.7,36.6,2.4,79538,62950,90.11,11,4,"SMD",1,1,1,1,1,146232,NA
"80","610U500US08010","State Senate District 10 (2016), Colorado","8010",2020,34.6,95.3,36.1,0.31,73760,59418,82.38,4,1,"SMD",1,1,1,1,1,154725,NA
"81","610U500US08012","State Senate District 12 (2016), Colorado","8012",2020,31.6,94.6,34,0.34,78841,61949,80.99,4,1,"SMD",1,1,1,1,1,155015,NA
"82","610U500US08014","State Senate District 14 (2016), Colorado","8014",2020,29.3,96.2,53,0.93,78141,57405,88.57,4,2,"SMD",1,1,1,1,1,159489,NA
"83","610U500US08017","State Senate District 17 (2016), Colorado","8017",2020,38.2,91.7,47.8,0.44,90227,70929,87.96,8,3,"SMD",1,1,1,1,1,149844,NA
"84","610U500US08018","State Senate District 18 (2016), Colorado","8018",2020,33.4,97.1,70.3,0.66,104711,70690,90.28,7,3,"SMD",1,1,1,1,1,149380,NA
"85","610U500US08019","State Senate District 19 (2016), Colorado","8019",2020,39.6,94.2,36.7,0.36,86067,71108,90.36,5,0,"SMD",1,1,1,1,1,147858,NA
"86","610U500US08021","State Senate District 21 (2016), Colorado","8021",2020,32,75.1,15.3,0.66,63880,52407,83.43,4,0,"SMD",1,1,1,1,1,159719,NA
"87","610U500US08023","State Senate District 23 (2016), Colorado","8023",2020,37.5,95.5,44.4,1.03,102712,84664,90.04,8,3,"SMD",1,1,1,1,1,167086,NA
"88","610U500US08025","State Senate District 25 (2016), Colorado","8025",2020,32.3,81.2,19.4,1.32,72402,58638,77.79,4,0,"SMD",1,1,1,1,1,161008,NA
"89","610U500US08026","State Senate District 26 (2016), Colorado","8026",2020,37.8,93.1,46.6,0.37,99195,60536,79.48,7,0,"SMD",1,1,1,1,1,156496,NA
"90","610U500US08027","State Senate District 27 (2016), Colorado","8027",2020,39.4,97.3,56.2,0.35,118201,96656,83.43,7,0,"SMD",1,1,1,1,1,150329,NA
"91","610U500US08028","State Senate District 28 (2016), Colorado","8028",2020,36,93.4,32.4,0.22,79412,66569,67.49,7,0,"SMD",1,1,1,1,1,149201,NA
"92","610U500US08029","State Senate District 29 (2016), Colorado","8029",2020,32.9,85,25.5,0.67,68079,51133,59.13,7,0,"SMD",1,0,0,1,1,153994,NA
"93","610U500US08031","State Senate District 31 (2016), Colorado","8031",2020,36.6,94.6,56.6,0.13,81289,52382,77.08,11,1,"SMD",1,1,1,1,1,158559,NA
"94","610U500US08033","State Senate District 33 (2016), Colorado","8033",2020,32.7,82.9,37.4,0.34,81868,61981,64.27,4,1,"SMD",1,0,0,1,1,170657,NA
"95","610U500US08035","State Senate District 35 (2016), Colorado","8035",2020,42.6,85.9,20.9,7.8,53162,38924,89.88,20,5,"SMD",1,1,1,1,1,138393,NA
"96","610U500US09001","State Senate District 1 (2016), Connecticut","9001",2020,33.3,74.3,21.3,0.2,56656,38803,53.82,14,4,"SMD",1,1,1,1,1,95018,NA
"97","610U500US09002","State Senate District 2 (2016), Connecticut","9002",2020,36.1,84.4,27.7,0.12,68299,49211,31.75,14,4,"SMD",1,0,0,0,1,96585,NA
"98","610U500US09003","State Senate District 3 (2016), Connecticut","9003",2020,40.5,89.6,31.1,0.31,84750,65214,66.83,14,4,"SMD",1,1,1,1,1,100343,NA
"99","610U500US09004","State Senate District 4 (2016), Connecticut","9004",2020,39.8,94.4,46.8,0.19,105321,79480,74.95,14,4,"SMD",1,1,1,1,1,100911,NA
"100","610U500US09005","State Senate District 5 (2016), Connecticut","9005",2020,42.6,95,59.6,0.1,131511,95734,83.3,14,4,"SMD",1,1,1,1,1,97737,NA
"101","610U500US09006","State Senate District 6 (2016), Connecticut","9006",2020,37.1,84,24.3,0.09,69202,49273,76.38,14,4,"SMD",1,1,1,1,1,96685,NA
"102","610U500US09007","State Senate District 7 (2016), Connecticut","9007",2020,42.9,91.7,32.3,0.34,98516,81314,85.23,14,4,"SMD",1,1,1,1,1,102107,NA
"103","610U500US09008","State Senate District 8 (2016), Connecticut","9008",2020,45.2,93.8,48.2,0.32,118416,87070,90.8,19,5,"SMD",1,1,1,1,1,96337,NA
"104","610U500US09009","State Senate District 9 (2016), Connecticut","9009",2020,41.4,92.2,40.9,0.13,92035,74279,79.75,18,5,"SMD",1,1,1,1,1,103128,NA
"105","610U500US09010","State Senate District 10 (2016), Connecticut","9010",2020,29.8,83.8,27.3,0.33,54516,36674,38.8,14,3,"SMD",1,1,1,1,1,95842,NA
"106","610U500US09011","State Senate District 11 (2016), Connecticut","9011",2020,33,88.3,44.4,0.21,74828,52355,62.55,14,3,"SMD",1,1,1,1,1,99088,NA
"107","610U500US09012","State Senate District 12 (2016), Connecticut","9012",2020,47.4,95.8,49.9,0.21,120615,88721,93.74,18,4,"SMD",1,1,1,1,1,95117,NA
"108","610U500US09013","State Senate District 13 (2016), Connecticut","9013",2020,43.3,90.2,32.2,0.34,86310,67022,84.11,18,4,"SMD",1,1,1,1,1,96589,NA
"109","610U500US09014","State Senate District 14 (2016), Connecticut","9014",2020,44.6,93.4,38.7,0.1,99921,80347,86.38,14,3,"SMD",1,1,1,1,1,94641,NA
"110","610U500US09015","State Senate District 15 (2016), Connecticut","9015",2020,35,80,18.2,0.03,59110,40160,66.23,14,3,"SMD",1,0,0,1,1,99770,NA
"111","610U500US09016","State Senate District 16 (2016), Connecticut","9016",2020,42.6,91.1,31.1,0.2,92817,77473,85.81,28,7,"SMD",1,1,1,1,1,104301,NA
"112","610U500US09017","State Senate District 17 (2016), Connecticut","9017",2020,40.5,90.6,31.8,0.11,87583,65573,72.7,14,3,"SMD",1,1,1,1,1,99372,NA
"113","610U500US09018","State Senate District 18 (2016), Connecticut","9018",2020,40.3,92,30.8,0.54,87189,66660,85.9,8,4,"SMD",1,1,1,1,1,101601,NA
"114","610U500US09019","State Senate District 19 (2016), Connecticut","9019",2020,41.3,91,29.7,0.67,89511,70713,80.25,21,7,"SMD",1,1,1,1,1,99917,NA
"115","610U500US09020","State Senate District 20 (2016), Connecticut","9020",2020,42.6,91.3,35.5,0.15,88691,67690,80.54,11,4,"SMD",1,1,1,1,1,96242,NA
"116","610U500US09021","State Senate District 21 (2016), Connecticut","9021",2020,45.4,93,40.1,0.1,106507,84558,87.71,34,8,"SMD",1,1,1,1,1,102234,NA
"117","610U500US09022","State Senate District 22 (2016), Connecticut","9022",2020,38.9,86.7,35.7,0.3,99696,76568,67.56,20,5,"SMD",1,1,1,1,1,99821,NA
"118","610U500US09023","State Senate District 23 (2016), Connecticut","9023",2020,32.2,74.2,13.8,0.09,49910,36289,33.32,20,5,"SMD",1,1,1,1,1,98030,NA
"119","610U500US09024","State Senate District 24 (2016), Connecticut","9024",2020,38.8,85.9,34.2,0.19,97552,75336,70.2,20,5,"SMD",1,1,1,1,1,107013,NA
"120","610U500US09025","State Senate District 25 (2016), Connecticut","9025",2020,39.2,89.6,46.2,0.18,139807,88813,75.04,20,5,"SMD",1,1,1,1,1,102372,NA
"121","610U500US09026","State Senate District 26 (2016), Connecticut","9026",2020,44.2,97.7,70.6,0.27,223581,137890,91.08,20,5,"SMD",1,1,1,1,1,107351,NA
"122","610U500US09027","State Senate District 27 (2016), Connecticut","9027",2020,35.4,87.8,45.3,0.31,121475,76762,59.89,20,5,"SMD",1,1,1,1,1,108076,NA
"123","610U500US09028","State Senate District 28 (2016), Connecticut","9028",2020,42.7,95.9,61.6,0.5,177795,123834,90.63,20,5,"SMD",1,1,1,1,1,104444,NA
"124","610U500US09029","State Senate District 29 (2016), Connecticut","9029",2020,31.9,87.6,26.6,1.68,69940,55524,85.3,1,1,"SMD",1,1,1,1,1,101962,NA
"125","610U500US09030","State Senate District 30 (2016), Connecticut","9030",2020,46.9,92.6,37.8,1.16,99974,77819,92.1,25,6,"SMD",1,1,1,1,1,95038,NA
"126","610U500US09031","State Senate District 31 (2016), Connecticut","9031",2020,41.8,89.6,26.7,0.37,78405,63885,88.93,19,5,"SMD",1,1,1,1,1,101782,NA
"127","610U500US09032","State Senate District 32 (2016), Connecticut","9032",2020,46.7,93.9,41.4,0.54,109786,84965,93.56,19,4,"SMD",1,1,1,1,1,93105,NA
"128","610U500US09033","State Senate District 33 (2016), Connecticut","9033",2020,46.8,94.6,41.5,0.69,109159,87472,94.51,11,4,"SMD",1,1,1,1,1,99937,NA
"129","610U500US09034","State Senate District 34 (2016), Connecticut","9034",2020,44.9,91.9,33,0.29,95085,75554,88.25,18,4,"SMD",1,1,1,1,1,96262,NA
"130","610U500US09035","State Senate District 35 (2016), Connecticut","9035",2020,42.1,93.9,35.6,1.14,94131,77055,92.8,1,1,"SMD",1,1,1,1,1,100982,NA
"131","610U500US09036","State Senate District 36 (2016), Connecticut","9036",2020,43.1,95.7,66.2,0.19,257590,144566,84.36,20,5,"SMD",1,1,1,1,1,98830,NA
"132","610U500US10001","State Senate District 1 (2016), Delaware","10001",2020,38.6,92.4,41.1,0.35,83526,60978,67.94,4,1,"SMD",1,1,1,1,1,44553,4280.6495
"133","610U500US10005","State Senate District 5 (2016), Delaware","10005",2020,46.4,96,52.6,0.2,106816,86012,83.02,4,1,"SMD",1,1,1,1,1,41127,2932.824645
"134","610U500US10007","State Senate District 7 (2016), Delaware","10007",2020,40.7,86.1,25.8,1.64,70898,59508,83,4,1,"SMD",1,1,1,1,1,41285,3270.876248
"135","610U500US10008","State Senate District 8 (2016), Delaware","10008",2020,27.4,97.2,61.7,0.4,101172,76914,81.8,4,1,"SMD",1,0,0,0,1,44532,1724.776328
"136","610U500US10009","State Senate District 9 (2016), Delaware","10009",2020,37.7,89.7,29.4,0.55,70043,56012,73.71,4,1,"SMD",1,1,1,1,1,41377,2089.641937
"137","610U500US10012","State Senate District 12 (2016), Delaware","10012",2020,39.1,93.1,29.8,0.04,91336,73564,60.66,4,1,"SMD",1,0,0,0,1,48956,907.8535002
"138","610U500US10013","State Senate District 13 (2016), Delaware","10013",2020,35,88.6,24,0.17,70374,58710,47.25,4,1,"SMD",1,1,1,1,1,44558,2644.391691
"139","610U500US10014","State Senate District 14 (2016), Delaware","10014",2020,37.4,88.4,26.5,1.03,89525,74317,70.38,8,2,"SMD",1,1,1,1,1,49238,217.4900173
"140","610U500US10015","State Senate District 15 (2016), Delaware","10015",2020,41.4,83,18.8,1.96,72760,59519,77.63,4,1,"SMD",1,1,1,1,1,46229,186.0696317
"141","610U500US10019","State Senate District 19 (2016), Delaware","10019",2020,43.4,81.4,15.9,2.22,66047,50969,77.72,6,0,"SMD",1,0,0,0,1,48253,212.6779001
"142","610U500US10020","State Senate District 20 (2016), Delaware","10020",2020,52.5,87.7,26.2,1.86,72574,55740,85.1,6,0,"SMD",1,0,0,0,1,44866,300.6620919
"143","610U500US12001","State Senate District 1 (2016), Florida","12001",2020,37.6,90,25.6,0.75,65684,50458,74.48,9,2,"SMD",1,1,1,1,1,500155,257.2240854
"144","610U500US12003","State Senate District 3 (2016), Florida","12003",2020,34.8,87.1,31.2,1.49,61691,44624,63.55,14,1,"SMD",1,1,1,1,1,482232,67.51387079
"145","610U500US12005","State Senate District 5 (2016), Florida","12005",2020,40.9,85.2,17.3,1.92,62087,47626,82.12,17,2,"SMD",1,1,1,1,1,480351,79.42752772
"146","610U500US12007","State Senate District 7 (2016), Florida","12007",2020,45.9,91.6,31.2,0.61,75304,50528,83.43,5,2,"SMD",1,1,1,1,1,510432,329.6574271
"147","610U500US12009","State Senate District 9 (2016), Florida","12009",2020,39.7,93,34.3,0.31,76615,56813,80.3,3,1,"SMD",1,1,1,1,1,491042,1295.498856
"148","610U500US12011","State Senate District 11 (2016), Florida","12011",2020,34.2,84.4,25.1,0.59,60865,43826,48.6,5,1,"SMD",1,1,1,1,1,514325,2056.058141
"149","610U500US12013","State Senate District 13 (2016), Florida","12013",2020,34.1,88.9,34,0.19,68702,48732,76.28,5,1,"SMD",1,1,1,1,1,509411,1678.996842
"150","610U500US12015","State Senate District 15 (2016), Florida","12015",2020,35.8,88.4,28.8,0.31,74914,53435,74.18,7,1,"SMD",1,1,1,1,1,544281,324.6148084
"151","610U500US12017","State Senate District 17 (2016), Florida","12017",2020,48.4,90.3,28.7,0.95,70711,49710,84.37,2,2,"SMD",1,1,1,1,1,494059,470.5673374
"152","610U500US12019","State Senate District 19 (2016), Florida","12019",2020,35.9,86,25,0.67,58916,43354,55.36,13,1,"SMD",1,0,0,1,1,517004,2453.849476
"153","610U500US12021","State Senate District 21 (2016), Florida","12021",2020,45.7,88.6,29.2,2.04,73951,54323,84.09,9,1,"SMD",1,1,1,1,1,512196,470.2816754
"154","610U500US12023","State Senate District 23 (2016), Florida","12023",2020,55.1,92.1,30.4,0.59,72772,50743,91.14,9,4,"SMD",1,1,1,1,1,495220,712.5334346
"155","610U500US12025","State Senate District 25 (2016), Florida","12025",2020,46.3,87.1,24,1.59,70174,48386,78.03,9,2,"SMD",1,1,1,1,1,486464,314.924377
"156","610U500US12027","State Senate District 27 (2016), Florida","12027",2020,47.4,87.8,27.6,0.69,69728,50348,85.34,14,2,"SMD",1,1,1,1,1,509623,1163.286455
"157","610U500US12029","State Senate District 29 (2016), Florida","12029",2020,45.1,93.1,42.8,1.12,101934,66655,79.87,16,3,"SMD",1,1,1,1,1,497333,419.6265546
"158","610U500US12031","State Senate District 31 (2016), Florida","12031",2020,43.7,84.8,29.1,0.79,68702,49470,73.28,9,2,"SMD",1,1,1,1,1,501269,4011.724596
"159","610U500US12033","State Senate District 33 (2016), Florida","12033",2020,38.3,81.9,19.6,0.12,52180,40362,40.31,7,1,"SMD",1,0,0,1,1,500571,6219.200378
"160","610U500US12035","State Senate District 35 (2016), Florida","12035",2020,36.9,84.4,22.2,0.17,59825,46094,40.34,17,3,"SMD",1,0,0,1,1,493899,5442.113382
"161","610U500US12037","State Senate District 37 (2016), Florida","12037",2020,40.8,81,34.8,0.36,86267,45275,88.45,10,2,"SMD",1,1,1,1,1,497546,6551.830392
"162","610U500US12039","State Senate District 39 (2016), Florida","12039",2020,38.3,78.9,23.5,2.67,65367,47416,82.44,12,3,"SMD",1,1,1,1,1,512141,205.8882295
"163","610U500US12040","State Senate District 40 (2016), Florida","12040",2020,40.2,86.3,31.3,0.5,76243,56773,85.65,10,2,"SMD",1,1,1,1,1,494981,5601.803963
"164","610U500US13001","State Senate District 1 (2016), Georgia","13001",2020,36.1,92,34.7,0.47,80090,60552,69.5,6,1,"SMD",1,1,1,1,1,178673,147.2706307
