candidate_ID,assigned_ID,year,website,website.binary,party_full,incumbent_status,party_short
AL-31QI50V_King_J,31QI50V,2018,https://www.jbkingforabetteralabama.com/,1,Democrat,C,D
AL-970JI4E_Ball_M,970JI4E,2018,http://www.electmikeball.com/,1,Republican,I,R
AL-3Q8P30D_Boyd_E,3Q8P30D,2018,http://electelijah.com/,1,Libertarian,C,O
AL-2I989MD_Gaston_V,2I989MD,2018,NA,0,Republican,I,R
AL-R5D9T37_Pringle_C,R5D9T37,2018,NA,0,Republican,I,R
AL-066UR2N_Stringer_S,066UR2N,2018,NA,0,Republican,O,R
AL-07ZA47V_Drummond_B,07ZA47V,2018,NA,0,Democrat,I,D
AL-017U0CG_Easley_A,017U0CG,2018,https://www.easley4alhouse104.com/,1,Democrat,C,D
AL-O269U6N_Wilcox_M,O269U6N,2018,http://margiewilcox.com/,1,Republican,I,R
AL-AP709Y0_Brown_C,AP709Y0,2018,https://www.chipbrown2018.com/,1,Republican,O,R
AL-7E155IN_Shedd_R,7E155IN,2018,NA,0,Republican,I,R
AL-UD78R72_Harbison_C,UD78R72,2018,NA,0,Republican,I,R
AL-Q8QC165_Rowe_C,Q8QC165,2018,NA,0,Republican,I,R
AL-31MMD14_Wadsworth_T,31MMD14,2018,NA,0,Republican,I,R
AL-5FL871N_Farley_A,5FL871N,2018,https://allenfarley.wordpress.com/,1,Republican,I,R
AL-2QN9D88_Coleman_S,2QN9D88,2018,https://suzannacoleman.com/,1,Democrat,C,D
AL-7F91L9W_South_K,7F91L9W,2018,NA,0,Republican,I,R
AL-AH185G9_Estes_T,AH185G9,2018,NA,0,Republican,C,R
AL-U150OE5_Britton_E,U150OE5,2018,http://www.brittonforalabama.com,1,Democrat,C,D
AL-EZ54Q08_Kiel_J,EZ54Q08,2018,http://jamiekiel.com/,1,Republican,C,R
AL-06Q42FH_Hall_L,06Q42FH,2018,NA,0,Democrat,I,D
AL-0E61DO2_Morrow_L,0E61DO2,2018,https://www.loraforalabama.com/,1,Democrat,C,D
AL-B8E96J6_Greer_L,B8E96J6,2018,NA,0,Republican,I,R
AL-6Q5B09Q_Meigs_L,6Q5B09Q,2018,https://www.lindameigs.com/,1,Democrat,C,D
AL-WJX2248_Sanderford_H,WJX2248,2018,http://www.howardsanderford.com/,1,Republican,I,R
AL-U14P20A_Reynolds_R,U14P20A,2018,https://reynoldsdist21rep.com/,1,Republican,I,R
AL-VJ11P83_Jones_C,VJ11P83,2018,http://www.terryjonesforal.com/,1,Democrat,C,D
AL-5PK07Y4_Whorton_R,5PK07Y4,2018,NA,0,Republican,I,R
AL-8Z02GU2_Hanes_J,8Z02GU2,2018,https://www.tommyhanes.com/,1,Republican,I,R
AL-IY46X27_Ledbetter_N,IY46X27,2018,NA,0,Republican,I,R
AL-51X2L2Y_McCutcheon_M,51X2L2Y,2018,http://www.macmccutcheon.com/,1,Republican,I,R
AL-99BU61S_Rich_K,99BU61S,2018,NA,0,Republican,I,R
AL-0Z6OI98_Jones_B,0Z6OI98,2018,NA,0,Democrat,C,D
AL-8Q9HL27_Kitchens_W,8Q9HL27,2018,NA,0,Republican,C,R
AL-V8030KP_Isbell_G,V8030KP,2018,http://isbellforhouse28.com/,1,Republican,C,R
AL-816YKT1_Pierce_K,816YKT1,2018,https://electkyle.org/,1,Democrat,C,D
AL-V2S269R_Millican_J,V2S269R,2018,https://www.electmillican.com/,1,Democrat,C,D
AL-8VE7Y04_Nordgren_B,8VE7Y04,2018,NA,0,Republican,I,R
AL-42WQ7W7_Young_C,42WQ7W7,2018,https://www.chadyoungstatehouse.com/,1,Democrat,C,D
AL-1E6CJ59_Sorrell_A,1E6CJ59,2018,https://www.andrewsorrell.com/,1,Republican,C,R
AL-G1X8Y68_Lipscomb_B,G1X8Y68,2018,https://www.craiglipscomb.com/,1,Republican,C,R
AL-T72VT18_Vaughn_J,T72VT18,2018,NA,0,Democrat,C,D
AL-889A8PC_Holmes_M,889A8PC,2018,http://www.holmes4house.com/,1,Republican,I,R
AL-SHV7806_Lloyd_J,SHV7806,2018,NA,0,Republican,C,R
AL-1W9PU77_Boyd_B,1W9PU77,2018,NA,0,Democrat,I,D
AL-29F95WF_Brewer_S,29F95WF,2018,https://www.brewerforalhouse.com/,1,Democrat,C,D
AL-V3I8C97_Johnson_R,V3I8C97,2018,NA,0,Republican,I,R
AL-0T7JV32_Standridge_D,0T7JV32,2018,NA,0,Republican,I,R
AL-42S4TD2_Hurst_S,42S4TD2,2018,NA,0,Republican,I,R
AL-9KD8C55_Wood_R,9KD8C55,2018,NA,0,Republican,I,R
AL-J97F3I2_Arnold-Swindle_N,J97F3I2,2018,https://votenicki.weebly.com/,1,Democrat,C,D
AL-R94Z9N8_Clark-Frieson_C,R94Z9N8,2018,https://www.clarkfriesonforstatehouse.org/,1,Democrat,C,D
AL-MP0342O_Fincher_B,MP0342O,2018,http://electbobfincher.com/,1,Republican,I,R
AL-GF3651T_McGee_B,GF3651T,2018,https://www.brianjmcgee.com/,1,Democrat,O,D
AL-B831HD5_Wood_D,B831HD5,2018,http://www.debbiewoodstaterepresentative.com/,1,Republican,O,R
AL-6L9T6T6_Shaver_G,6L9T6T6,2018,NA,0,Republican,O,R
AL-D2R9I35_Cummings_J,D2R9I35,2018,https://www.cummingsforhd4.com/,1,Democrat,O,D
AL-2X26O9V_Willis_P,2X26O9V,2018,https://polanwillis.com/,1,Independent,O,O
AL-YAD0544_Moore_P,YAD0544,2018,https://www.parkerduncanmoore.com/,1,Republican,O,R
AL-O930W1O_Howard_P,O930W1O,2018,https://www.pamhoward4house40.com/,1,Democrat,C,D
AL-354KUK5_Brown_K,354KUK5,2018,NA,0,Republican,I,R
AL-O206J0L_Marcum_E,O206J0L,2018,https://www.emilymarcum.com/,1,Democrat,C,D
AL-5KWE855_Ellis_C,5KWE855,2018,NA,0,Republican,I,R
AL-3682QKH_Martin_J,3682QKH,2018,NA,0,Republican,I,R
AL-JP47A55_Mayo_C,JP47A55,2018,https://www.carinmayo2018.com/,1,Democrat,C,D
AL-1M73GA6_Mooney_A,1M73GA6,2018,http://arnoldmooney.com/,1,Republican,I,R
AL-1V0JG32_Garrett_D,1V0JG32,2018,http://www.electdannygarrett.com/,1,Republican,I,R
AL-791YM3W_Drake_D,791YM3W,2018,NA,0,Republican,I,R
AL-I7ZL979_Gray_J,I7ZL979,2018,https://www.votejenngray.com/,1,Democrat,C,D
AL-15T7KW3_Stewart_F,15T7KW3,2018,http://stewart4alabama.com/,1,Democrat,C,D
AL-09R33AO_Faulkner_D,09R33AO,2018,https://www.davidfaulkneral46.com/,1,Republican,I,R
AL-0Z08LV2_Wheeler_D,0Z08LV2,2018,NA,0,Republican,O,R
AL-3ZM560H_Toomey_J,3ZM560H,2018,http://www.jimtoomeyforalabamahouse.com/,1,Democrat,O,D
AL-84UL68S_Summerford_A,84UL68S,2018,https://alliforalabama.com/,1,Democrat,C,D
AL-A881UX7_Carns_J,A881UX7,2018,http://jimcarns.com/,1,Republican,I,R
AL-H03T6L1_Weaver_A,H03T6L1,2018,http://www.aprilweaver.com/,1,Republican,I,R
AL-19T05JC_Williams_B,19T05JC,2018,http://brianwilliamsforalabamastatehouse.org/,1,Democrat,C,D
AL-Y7Z8U82_Crawford_D,Y7Z8U82,2018,http://www.votedannycrawford.com/,1,Republican,I,R
AL-V4202PX_Hill_J,V4202PX,2018,NA,0,Republican,I,R
AL-94AZI04_Johnson_V,94AZI04,2018,https://www.voteforveronicarjohnson.com/,1,Democrat,C,D
AL-9DD22V9_Treadaway_A,9DD22V9,2018,NA,0,Republican,I,R
AL-DV16H81_Rogers_J,DV16H81,2018,NA,0,Democrat,I,D
AL-41G3C4B_Daniels_A,41G3C4B,2018,http://repdaniels.com/,1,Democrat,I,D
AL-7FP2U05_Baker_J,7FP2U05,2018,NA,0,Independent,O,O
AL-PQO4831_Rafferty_N,PQO4831,2018,https://www.raffertyforstatehouse.com/,1,Democrat,O,D
AL-4VI7C90_Scott_R,4VI7C90,2018,NA,0,Democrat,I,D
AL-B10VV96_Alexander_L,B10VV96,2018,http://reelectalexander.com/,1,Democrat,I,D
AL-11O8A3D_Coleman_M,11O8A3D,2018,NA,0,Democrat,I,D
AL-F88G1Z1_Hollis_R,F88G1Z1,2018,https://rolandahollis.com/,1,Democrat,I,D
AL-SV8398X_Moore_M,SV8398X,2018,NA,0,Democrat,I,D
AL-93HY9C7_Whitt_A,93HY9C7,2018,https://andywhittforhousedistrict6.com/,1,Republican,C,R
AL-4M73Q7L_Givan_J,4M73Q7L,2018,NA,0,Democrat,I,D
AL-3S37QF0_Sullivan_R,3S37QF0,2018,NA,0,Republican,O,R
AL-2U3E3F3_Hyche_T,2U3E3F3,2018,http://tommyhyche.com/,1,Democrat,O,D
AL-58NO83Q_Benton_W,58NO83Q,2018,https://bentonforalabama.com/,1,Democrat,C,D
AL-6Y36EK6_Wingo_R,6Y36EK6,2018,NA,0,Republican,I,R
AL-39DF59Z_Poole_B,39DF59Z,2018,NA,0,Republican,I,R
AL-9R605FX_Selman-Lynn_A,9R605FX,2018,https://www.voteamberselmanlynn.com/,1,Democrat,C,D
AL-G0D51F6_Shiver_H,G0D51F6,2018,NA,0,Republican,I,R
AL-O22W09H_Easterbrook_B,O22W09H,2018,https://www.bretteasterbrook.com/,1,Republican,C,R
AL-T577ZL7_Beech_E,T577ZL7,2018,NA,0,Democrat,I,D
AL-6EI08R6_Smith_S,6EI08R6,2018,https://votesusansmith.com/,1,Democrat,C,D
AL-6B0Z2O0_Baker_A,6B0Z2O0,2018,NA,0,Republican,I,R
AL-UV8V388_Chestnut_P,UV8V388,2018,https://www.princechestnut4house.com/,1,Democrat,I,D
AL-A1C08W5_Jackson_T,A1C08W5,2018,NA,0,Democrat,I,D
AL-T41I1X4_Lawrence_K,T41I1X4,2018,NA,0,Democrat,I,D
AL-666YS9K_Brackins_K,666YS9K,2018,https://kennethabrackinsforalabamastatehouse.com/,1,Democrat,O,D
AL-238F4MB_Robertson_P,238F4MB,2018,https://pronceyforhouse.com/,1,Republican,O,R
AL-1C9C6X9_England_C,1C9C6X9,2018,NA,0,Democrat,I,D
AL-TAF3576_McCampbell_A,TAF3576,2018,NA,0,Democrat,I,D
AL-3T74I9W_Howard_R,3T74I9W,2018,NA,0,Democrat,I,D
AL-FW209F1_Jacobs_J,FW209F1,2018,http://www.votejackjacobs.com/,1,Democrat,C,D
AL-90D1EF5_Fridy_M,90D1EF5,2018,http://www.mattfridy.com/,1,Republican,I,R
AL-08WC66G_Mack_R,08WC66G,2018,https://www.mackforhouse.com/,1,Democrat,C,D
AL-9F95X3O_Polizos_D,9F95X3O,2018,NA,0,Republican,I,R
AL-1B0W58Z_Ingram_R,1B0W58Z,2018,NA,0,Republican,I,R
AL-29E4V5D_McClammy_T,29E4V5D,2018,https://www.thadmcclammy.com/,1,Democrat,I,D
AL-3217DQD_Morris_T,3217DQD,2018,https://candidatetashinamorris77.com/,1,Democrat,O,D
AL-F5E529U_Hatcher_K,F5E529U,2018,https://www.kirkhatcherforhouse.com/,1,Democrat,O,D
AL-6P8NE26_Adetunji_T,6P8NE26,2018,https://electadetunji.com/,1,Independent,O,O
AL-F53K86X_Kling_M,F53K86X,2018,https://www.marywynnekling.com/,1,Democrat,C,D
AL-1XKE672_Lovvorn_J,1XKE672,2018,http://www.joelovvorn.com/,1,Republican,I,R
AL-40Q7S0V_Jackson_B,40Q7S0V,2018,NA,0,Democrat,C,D
AL-6JV72G8_Collins_T,6JV72G8,2018,http://www.terricollins.org/,1,Republican,I,R
AL-43MDW13_Davis_C,43MDW13,2018,NA,0,Democrat,C,D
AL-9V89Q3R_Blackshear_C,9V89Q3R,2018,NA,0,Republican,I,R
AL-5P671HZ_Oliver_E,5P671HZ,2018,NA,0,Republican,O,R
AL-H93Y05H_Jeffcoat_J,H93Y05H,2018,NA,0,Democrat,O,D
AL-6J954GS_Warren_P,6J954GS,2018,http://www.pebblinwarren.com/,1,Democrat,I,D
AL-8006HMD_Gray_J,8006HMD,2018,https://jeremygrayforalhouse83.com/,1,Democrat,O,D
AL-7BD19P7_Holden_M,7BD19P7,2018,NA,0,Republican,O,R
AL-KTV7924_Forte_B,KTV7924,2018,NA,0,Democrat,I,D
AL-2M1A8K7_Wilson_J,2M1A8K7,2018,NA,0,Republican,C,R
AL-0R452EV_Grimsley_D,0R452EV,2018,NA,0,Democrat,I,D
AL-369S3DV_Kirkland_K,369S3DV,2018,https://kristy4alhouse.com/,1,Democrat,C,D
AL-W335EO6_Lee_P,W335EO6,2018,NA,0,Republican,I,R
AL-T09PR52_Sorrells_J,T09PR52,2018,NA,0,Republican,O,R
AL-3P006PB_Creel_C,3P006PB,2018,https://www.creelfordistrict88.com/,1,Democrat,O,D
AL-3V4G00R_Dismukes_W,3V4G00R,2018,NA,0,Republican,O,R
AL-059KL4H_Williams_J,059KL4H,2018,https://www.joelleewilliams.com/,1,Democrat,O,D
AL-485Q0DY_Allen_W,485Q0DY,2018,http://electjudgewesallen.com/,1,Republican,O,R
AL-DL2059D_Stadthagen_S,DL2059D,2018,https://www.scottstadthagen.com/,1,Republican,C,R
AL-N9G311G_Whetstone_J,N9G311G,2018,https://www.joannewhetstoneforalabama.com/,1,Democrat,C,D
AL-N3S3B02_Sells_C,N3S3B02,2018,https://www.votechrissells.com/,1,Republican,I,R
AL-ZR8497W_Marques_R,ZR8497W,2018,NA,0,Republican,O,R
AL-W36A0A9_Jones_M,W36A0A9,2018,NA,0,Republican,I,R
AL-9I77GK5_Clouse_S,9I77GK5,2018,NA,0,Republican,I,R
AL-618ED7X_Mashburn-Myrick_D,618ED7X,2018,https://danielle4alabama.com/,1,Democrat,C,D
AL-6ZG605X_Faust_J,6ZG605X,2018,NA,0,Republican,I,R
AL-9991RHC_McMillan_S,9991RHC,2018,NA,0,Republican,I,R
AL-5K19JP1_Shelby_M,5K19JP1,2018,https://electmattshelby.nationbuilder.com/,1,Libertarian,O,O
AL-06U5J6I_Simpson_M,06U5J6I,2018,http://votemattsimpson.com/,1,Republican,O,R
AL-X7683SL_Horsey_M,X7683SL,2018,https://www.mauricehorsey.com/,1,Democrat,O,D
AL-7D0TY40_McNair_S,7D0TY40,2018,https://www.votemcnair.com/,1,Republican,C,R
AL-T22L5Y0_Clarke_A,T22L5Y0,2018,https://www.voteadline.com/,1,Democrat,I,D
AL-39L6PQ9_Bracy_N,39L6PQ9,2018,NA,0,Democrat,I,D
AL-87HN2N7_Talbert_C,87HN2N7,2018,NA,0,Republican,O,R
AL-SM5819Y_Jones_S,SM5819Y,2018,https://allinforsamjones.com/,1,Democrat,O,D
AL-UI2M713_Self_C,UI2M713,2018,http://www.carolineforalabama.com/,1,Democrat,C,D
AL-7M3W98F_Melson_T,7M3W98F,2018,http://timmelson.com/,1,Republican,I,R
AL-3O2J54N_Jones_A,3O2J54N,2018,https://www.andrewandyou.com/,1,Republican,C,R
AL-6H9K56X_Ford_C,6H9K56X,2018,https://votecraigford.com/,1,Democrat,C,D
AL-6H4O4N0_Carter_C,6H4O4N0,2018,https://votecarter.org/,1,Democrat,C,D
AL-R5H5Q76_McClendon_J,R5H5Q76,2018,NA,0,Republican,I,R
AL-25I6GB7_Williams_J,25I6GB7,2018,https://jimwilliams4senate12.com/,1,Democrat,C,D
AL-7G3I0Y3_Marsh_D,7G3I0Y3,2018,NA,0,Republican,I,R
AL-4E2Q48Q_Turner_D,4E2Q48Q,2018,https://imwithdarrellturner.com/,1,Democrat,C,D
AL-CFJ8657_Price_R,CFJ8657,2018,https://randypriceforsenate.com/,1,Republican,C,R
AL-39GE9X6_McDonald_J,39GE9X6,2018,https://www.mcdonaldforalsenate.com/,1,Democrat,C,D
AL-92A9ZQ0_Ward_C,92A9ZQ0,2018,http://www.camward.com/,1,Republican,I,R
AL-54JGR53_Roberts_D,54JGR53,2018,https://www.danrobertsforsenate.com/,1,Republican,C,R
AL-31C96TK_Deckard_L,31C96TK,2018,https://www.deckardforalsenate.com/,1,Democrat,C,D
AL-2516GHC_Waggoner_J,2516GHC,2018,NA,0,Republican,I,R
AL-45I2JG0_Shelnutt_S,45I2JG0,2018,NA,0,Republican,I,R
AL-7TE03W3_Smitherman_R,7TE03W3,2018,NA,0,Democrat,I,D
AL-XN251F1_Dunn_P,XN251F1,2018,NA,0,Democrat,I,D
AL-2D5RB74_Wasyluka_A,2D5RB74,2018,http://www.wasylukaforsenate.com/,1,Democrat,C,D
AL-4V4S8U5_Butler_T,4V4S8U5,2018,https://www.senatorbutler.com/,1,Republican,C,R
AL-58Y93MK_Coleman-Madison_L,58Y93MK,2018,NA,0,Democrat,I,D
AL-8554WSB_Burnham_R,8554WSB,2018,http://www.rickburnhamal.com/,1,Democrat,C,D
AL-0I3ZA39_Allen_G,0I3ZA39,2018,http://www.geraldallenforsenate.com/,1,Republican,I,R
AL-G01HD45_Albritton_G,G01HD45,2018,http://gregforsenate22.com/index.html,1,Republican,I,R
AL-16LR5A5_Sanders-Fortier_M,16LR5A5,2018,NA,0,Democrat,C,D
AL-3T23UN2_Story_M,3T23UN2,2018,NA,0,Independent,C,O
AL-6029PYR_Singleton_B,6029PYR,2018,NA,0,Democrat,I,D
AL-29Q2D4H_Sadler_D,29Q2D4H,2018,NA,0,Democrat,C,D
AL-KU1H584_Barfoot_W,KU1H584,2018,NA,0,Republican,C,R
AL-2D544YC_Johnson_D,2D544YC,2018,NA,0,Republican,C,R
AL-CM1W803_Burkette_D,CM1W803,2018,NA,0,Democrat,I,D
AL-RH29W24_Bendinger_N,RH29W24,2018,https://www.votenancy27.net/,1,Democrat,C,D
AL-A05BM95_Whatley_T,A05BM95,2018,https://tomwhatleyforsenate.com/,1,Republican,I,R
AL-90AD88F_Beasley_B,90AD88F,2018,NA,0,Democrat,I,D
AL-BC9361Q_Chesteen_D,BC9361Q,2018,NA,0,Republican,C,R
AL-O5I8G66_Orr_A,O5I8G66,2018,http://www.arthurorr.com/,1,Republican,I,R
AL-1B390EI_Chambliss_C,1B390EI,2018,https://www.clydechambliss.com/,1,Republican,I,R
AL-3575DYS_Holley_J,3575DYS,2018,NA,0,Republican,I,R
AL-P8C86D3_Elliott_C,P8C86D3,2018,http://electchriselliott.com/,1,Republican,C,R
AL-XR118G1_Fisher_J,XR118G1,2018,https://fisherforsenate.com/,1,Democrat,C,D
AL-044XSO7_Figures_V,044XSO7,2018,NA,0,Democrat,I,D
AL-2O4R29E_Williams_J,2O4R29E,2018,http://jackwilliams.org/,1,Republican,C,R
AL-M07R7X3_Sessions_D,M07R7X3,2018,NA,0,Republican,C,R
AL-FW0633H_Holmes_T,FW0633H,2018,https://tomholmesforsenate.com/,1,Democrat,C,D
AL-4FYC910_Gudger_G,4FYC910,2018,https://www.garlangudger.com/about,1,Republican,O,R
AL-2DBS457_Reed_G,2DBS457,2018,NA,0,Republican,I,R
AL-P4912FI_Morrow_J,P4912FI,2018,https://www.johnnymackmorrow.com/,1,Democrat,C,D
AL-8S8JN60_Stutts_L,8S8JN60,2018,https://www.larrystutts.com/,1,Republican,I,R
AL-51I7I5Z_Givhan_S,51I7I5Z,2018,https://samgivhan.net/,1,Republican,O,R
AL-9B372TJ_Barros_D,9B372TJ,2018,https://votedeborahbarros.com/,1,Democrat,O,D
AL-1204OIF_Livingston_S,1204OIF,2018,NA,0,Republican,I,R
AL-06NG57H_Scofield_C,06NG57H,2018,NA,0,Republican,I,R
AK-2G3D20N_Lebon_B,2G3D20N,2018,https://bartforfairbanks.com/,1,Republican,O,R
AK-T15L23X_Dodge_K,T15L23X,2018,https://alaskansfordodge.com/,1,Democrat,O,D
AK-O5TR260_Faye-Brazel_P,O5TR260,2018,https://www.patriciaforhouse.com/,1,Democrat,C,D
AK-LB0O758_Eastman_D,LB0O758,2018,http://davideastman.org/,1,Republican,I,R
AK-53PB9P4_Patterson_E,53PB9P4,2018,https://eileenpattersonalaska.com/,1,Democrat,C,D
AK-352OT8M_Johnson_D,352OT8M,2018,http://www.electdelena.com/,1,Republican,I,R
AK-N2G68W7_Jeffers_S,N2G68W7,2018,https://www.jeffersforalaska.com/,1,Independent,C,O
AK-Z9820QL_Tilton_C,Z9820QL,2018,http://www.cathytilton4alaska.com/,1,Republican,I,R
AK-5O97Q5C_Kimp_D,5O97Q5C,2018,https://www.kimpforalaska.org/,1,Independent,O,O
AK-2T3Z2O3_Dahlstrom_N,2T3Z2O3,2018,https://nancydahlstrom.com/,1,Republican,O,R
AK-469H7SI_Hackenmueller_J,469H7SI,2018,http://www.hackenmuellerforhouse.com/,1,Independent,O,O
AK-Z4B541H_Merrick_K,Z4B541H,2018,https://www.kellymerrick.com/,1,Republican,O,R
AK-659XD0W_Franks_L,659XD0W,2018,https://www.lynfranksforstatehouse.com/,1,Democrat,C,D
AK-L4X282X_LeDoux_G,L4X282X,2018,http://www.voteledoux.com/,1,Republican,I,R
AK-4V987IR_Wright_S,4V987IR,2018,https://www.wright4alaska.com/,1,Republican,C,R
AK-2H01TM2_Spohnholz_I,2H01TM2,2018,http://www.ivyforalaska.com/,1,Democrat,I,D
AK-V24R70B_Sanders_M,V24R70B,2018,https://www.marcusinthehouse.com/,1,Independent,C,O
AK-0040YZQ_Josephson_A,0040YZQ,2018,NA,0,Democrat,I,D
AK-8C1N8J3_Lekanof_A,8C1N8J3,2018,https://www.anthonyforhouse.com/,1,Republican,C,R
AK-B8W5G02_Drummond_H,B8W5G02,2018,http://www.harrietdrummond.com/,1,Democrat,I,D
AK-R44BD47_Tarr_G,R44BD47,2018,https://www.tarrforalaska.com/,1,Democrat,I,D
AK-RXT4081_Stevens_C,RXT4081,2018,http://www.ceanstevens.com/,1,Libertarian,C,O
AK-101D0PX_Lawrence_V,101D0PX,2018,https://vanlawrence.net/,1,Democrat,C,D
AK-5G71UG8_Thompson_S,5G71UG8,2018,NA,0,Republican,I,R
AK-89WQ9T6_Martinson_C,89WQ9T6,2018,NA,0,Republican,O,R
AK-9P1E97O_West_W,9P1E97O,2018,NA,0,Independent,O,O
AK-398O9CY_Fields_W,398O9CY,2018,https://zackforalaska.blogspot.com/,1,Democrat,O,D
AK-2O35Z1W_Stewart_M,2O35Z1W,2018,https://marilynalaska.com/,1,Republican,C,R
AK-587YHV6_Claman_M,587YHV6,2018,http://www.mattclaman.com/,1,Democrat,I,D
AK-7O2D23F_Darden_D,7O2D23F,2018,NA,0,Democrat,C,D
AK-33LJ9Q1_Rasmussen_S,33LJ9Q1,2018,https://www.saraforhouse.com/,1,Republican,C,R
AK-5U1CB56_Grenn_J,5U1CB56,2018,http://www.electjasongrenn.com/,1,Independent,I,O
AK-H02HO64_Dougherty_C,H02HO64,2018,https://www.connieforhouse.com/,1,Republican,C,R
AK-2GS3C37_Tuck_C,2GS3C37,2018,https://tuckforalaska.com/,1,Democrat,I,D
AK-5ZR6X16_Levi_S,5ZR6X16,2018,NA,0,Democrat,C,D
AK-9VE828H_Kopp_C,9VE828H,2018,http://www.chuckkopp.com/,1,Republican,I,R
AK-7HI59P7_Revak_J,7HI59P7,2018,https://joshrevak.com/,1,Republican,O,R
AK-H64X8M9_Higgins_P,H64X8M9,2018,http://www.pathigginsforstatehouse.com/,1,Democrat,O,D
AK-46CP54K_Shaw_L,46CP54K,2018,http://www.laddieforstatehouse.com/,1,Republican,O,R
AK-27CVX61_Snyder_L,27CVX61,2018,https://www.electlizsnyder.com/,1,Democrat,C,D
AK-0P62X5K_Pruitt_L,0P62X5K,2018,http://www.lancepruitt.com/,1,Republican,I,R
