candidate_ID,assigned_ID,year,website_url,website_binary,party_full,incumbent_status,party_short
AZ-54QX9M4_Whitman_B,54QX9M4,2020,NA,0,Democrat,C,D
AZ-XP351I0_Gray_R,XP351I0,2020,http://www.voterickgray.com/,1,Republican,I,R
AZ-0EE15L7_Tyree_S,0EE15L7,2020,https://www.tyreeforaz.com/,1,Democrat,C,D
AZ-T5H86W2_Livingston_D,T5H86W2,2020,https://davidlivingston.vote/,1,Republican,I,R
AZ-188ZB8Y_Blattman_S,188ZB8Y,2020,https://sethblattman.com/,1,Democrat,C,D
AZ-8MVD151_Ugenti-Rita_M,8MVD151,2020,http://www.michelleugenti.com/,1,Republican,I,R
AZ-U8J9W96_Kirsch_K,U8J9W96,2020,NA,0,Independent,C,O
AZ-Q744V3W_Alston_L,Q744V3W,2020,http://lelaalstonaz.com/,1,Democrat,I,D
AZ-9ER0T95_Michaels_R,9ER0T95,2020,NA,0,Republican,C,R
AZ-V1Y424P_Weigel_P,V1Y424P,2020,https://www.paulformesa.com/,1,Democrat,C,D
AZ-106T3SK_Pace_T,106T3SK,2020,https://www.paceforazsenate.com/,1,Republican,I,R
AZ-CU2597Z_Mendez_J,CU2597Z,2020,https://mendezforarizona.com/,1,Democrat,I,D
AZ-P3N4F79_Chin_J,P3N4F79,2020,https://jaechin.com/,1,Republican,C,R
AZ-Z5140UK_Rios_R,Z5140UK,2020,NA,0,Democrat,I,D
AZ-0IP337Q_Shreves_G,0IP337Q,2020,https://www.garlandaz.com/,1,Republican,C,R
AZ-CCE6799_Marsh_C,CCE6799,2020,http://www.christineportermarsh.com/,1,Democrat,C,D
AZ-H6J96G5_McGee_K,H6J96G5,2020,http://www.katemcgee.com/,1,Republican,I,R
AZ-8T3F21Q_Quezada_M,8T3F21Q,2020,http://www.martinquezada.com/,1,Democrat,I,D
AZ-34AS05N_Wilson_J,34AS05N,2020,NA,0,Republican,C,R
AZ-V2Q58U4_Carpenter_C,V2Q58U4,2020,NA,0,Independent,C,O
AZ-344U4RF_Navarrete_T,344U4RF,2020,https://www.tonynavarrete.com/,1,Democrat,I,D
AR-XM5549B_Francis_R,XM5549B,2020,https://ronettafrancis.org/,1,Democrat,C,D
AR-040L5IT_Hester_B,040L5IT,2020,https://www.hesterforarkansas.com/,1,Republican,I,R
AR-78OFI77_Craig_R,78OFI77,2020,NA,0,Democrat,C,D
AR-344CUE5_Hendren_J,344CUE5,2020,https://www.hendrenforarkansas.com/,1,Republican,I,R
AR-619OQ6M_Eads_L,619OQ6M,2020,NA,0,Republican,I,R
AR-IZH3819_Hickey_J,IZH3819,2020,NA,0,Republican,I,R
AR-V3Z633I_Maloch_B,V3Z633I,2020,https://www.maloch4senate.com/,1,Democrat,I,D
AR-796OF8Y_Beckham_C,796OF8Y,2020,https://www.charlesbeckham.com/,1,Republican,C,R
AR-U5122NO_Overly_B,U5122NO,2020,NA,0,Democrat,C,D
AR-M5J398N_Clark_A,M5J398N,2020,https://alanclarklistens.com/,1,Republican,I,R
AR-0C5Y8O1_Davis_B,0C5Y8O1,2020,NA,0,Republican,I,R
AR-8QY8I97_Sullivan_D,8QY8I97,2020,NA,0,Republican,C,R
AR-7B92LZ6_Wallace_D,7B92LZ6,2020,https://www.daveforarkansas.com/,1,Republican,I,R
AR-Z961M5J_Caldwell_R,Z961M5J,2020,NA,0,Republican,I,R
AR-90P8F7S_Flowers_S,90P8F7S,2020,NA,0,Democrat,I,D
AR-PY95M87_Cheatham_E,PY95M87,2020,https://www.senatoreddiecheatham.com/,1,Democrat,I,D
AR-3MHX260_Gilmore_B,3MHX260,2020,https://bengilmoreforsenate.com/,1,Republican,C,R
AR-8JA533Q_Burrell_K,8JA533Q,2020,https://www.burrellforarkansas.com/,1,Democrat,C,D
AR-T1D09G6_Garner_T,T1D09G6,2020,https://www.trentgarnerforsenate.com/,1,Republican,I,R
AR-BQ67F20_Dismang_J,BQ67F20,2020,http://www.jonathandismang.com/,1,Republican,I,R
AR-4D5J76T_Hill_R,4D5J76T,2020,http://www.voterickyhill.com/,1,Republican,I,R
AR-BD189V5_Tucker_C,BD189V5,2020,http://www.clarketucker.com/,1,Democrat,C,D
AR-56NY47Z_Thomas_B,56NY47Z,2020,https://www.bobthomas4ar.com/,1,Republican,C,R
AR-6P81FE3_Dixon_A,6P81FE3,2020,https://www.dixonforsenate.com/,1,Democrat,C,D
AR-D1385YS_English_J,D1385YS,2020,NA,0,Republican,I,R
CA-U73XJ06_Swartz_P,U73XJ06,2020,https://www.pamelaforsenate.com/,1,Democrat,C,D
CA-6V89SR6_Dahle_B,6V89SR6,2020,https://briandahle.com/,1,Republican,I,R
CA-47E5GI4_Dodd_B,47E5GI4,2020,http://www.billdodd.com/,1,Democrat,I,D
CA-E1I2F14_Santamaria_C,E1I2F14,2020,https://www.electsantamaria.com/,1,Republican,C,R
CA-09JLQ52_Eggman_S,09JLQ52,2020,http://www.susaneggman.com/,1,Democrat,C,D
CA-180EIV6_Ridenour_J,180EIV6,2020,https://www.jimridenourforsenate.com/,1,Republican,C,R
CA-K1461ZR_Glazer_S,K1461ZR,2020,http://www.glazerforsenate.com/,1,Democrat,I,D
CA-O5SK629_Mobley_J,O5SK629,2020,https://www.julieforsenate.com/,1,Republican,C,R
CA-O3S868W_Skinner_N,O3S868W,2020,https://nancyskinner4senate.org/,1,Democrat,I,D
CA-6NF20R4_Dluzak_J,6NF20R4,2020,https://jamiedluzak4senate.com/,1,Independent,C,O
CA-8HAV071_Wiener_S,8HAV071,2020,https://www.scottwiener.com/,1,Democrat,I,D
CA-85R2GL8_Fielder_J,85R2GL8,2020,https://jackieforsenate.com/,1,Democrat,C,D
CA-P45H05N_Becker_J,P45H05N,2020,https://joshbecker2020.com/,1,Democrat,C,D
CA-20A74IN_Glew_A,20A74IN,2020,https://voteglew.com/,1,Republican,C,R
CA-923SIY3_Cortese_D,923SIY3,2020,https://davecortese.com/,1,Democrat,C,D
CA-96UIC50_Ravel_A,96UIC50,2020,https://ravelforca.com/,1,Democrat,C,D
CA-235UQP4_Laird_J,235UQP4,2020,https://www.lairdforcasenate.com/,1,Democrat,C,D
CA-0V76L4W_Nohrden_V,0V76L4W,2020,https://www.vicki4senate.com/,1,Republican,C,R
CA-NA_NA_NA,NA,2020,NA,0,Democrat,C,D
CA-66U17YH_Michaels_G,66U17YH,2020,https://garymichaelsforsenate.com/,1,Republican,C,R
CA-F301M1C_Mueller_K,F301M1C,2020,https://www.kippforsenate.com/,1,Democrat,C,D
CA-V20A0M9_Wilk_S,V20A0M9,2020,https://wilkforca.com/,1,Republican,I,R
CA-1G027IW_Medina_A,1G027IW,2020,https://www.abigailforsenate.com/,1,Democrat,C,D
CA-J79R1B7_Bogh_R,J79R1B7,2020,https://www.ochoaboghforsenate.com/,1,Republican,C,R
"CA-701CGC1_Portantino,_A",701CGC1,2020,https://www.anthonyportantino.com/,1,Democrat,I,D
CA-1XOF625_Hazelton_K,1XOF625,2020,http://kathleenhazelton.com/,1,Republican,C,R
CA-U1M61A7_Stern_H,U1M61A7,2020,NA,0,Democrat,I,D
CA-E7A5F07_Salem_H,E7A5F07,2020,https://salem2020.com/,1,Republican,C,R
CA-R93B7Z0_Newman_J,R93B7Z0,2020,https://www.newman2020.com/,1,Democrat,C,D
CA-2W92TN5_Chang_L,2W92TN5,2020,https://www.ling2020.com/,1,Republican,I,R
CA-337WXA3_Roth_R,337WXA3,2020,https://www.roth4senate.com/,1,Democrat,I,D
CA-5VQ464Y_Taylor_R,5VQ464Y,2020,https://www.rodtaylor4forstatesenate.com/,1,Republican,C,R
CA-P836V0W_Gonzalez_L,P836V0W,2020,https://www.votelenagonzalez.com/,1,Democrat,I,D
CA-98JP6E6_Castillo_E,98JP6E6,2020,https://www.elizabethcastillo4senate.com/,1,Democrat,C,D
CA-XP913X6_Bradford_S,XP913X6,2020,https://www.bradfordforsenate.com/,1,Democrat,I,D
CA-W4O868W_Perry_A,W4O868W,2020,https://www.anthonyperry.org/,1,Independent,C,O
CA-9O2X5S4_Min_D,9O2X5S4,2020,https://davemin.com/,1,Democrat,C,D
CA-43RV8I1_Moorlach_J,43RV8I1,2020,https://moorlachforsenate.com/,1,Republican,I,R
CA-5289AHP_Atkins_T,5289AHP,2020,https://www.toniatkinsforsenate.com/,1,Democrat,I,D
CA-Y0A1P64_Blankenship_L,Y0A1P64,2020,http://www.linda4ca39.com/,1,Republican,C,R
CO-T3134XO_Flaumenhaft_E,T3134XO,2020,https://ej4sd4.com/,1,Democrat,C,D
CO-NG7885N_Smallwood_J,NG7885N,2020,https://jimsmallwoodforcolorado.com/,1,Republican,I,R
CO-ST24D89_Harlos_W,ST24D89,2020,NA,0,Independent,C,O
CO-7LJW401_Hanlon_K,7LJW401,2020,https://karlhanlon.com/,1,Democrat,C,D
CO-4259PBA_Rankin_R,4259PBA,2020,http://www.votebobrankin.com/,1,Republican,I,R
CO-UD840U1_McCallian_R,UD840U1,2020,https://randiforcolorado.com/,1,Democrat,C,D
CO-57JJ49I_Liston_L,57JJ49I,2020,http://friendsoflarryliston.com/,1,Republican,C,R
CO-0E3EO43_Johnson_H,0E3EO43,2020,NA,0,Independent,C,O
CO-8IO011E_Johnson_E,8IO011E,2020,https://www.electelectra.com/,1,Democrat,C,D
CO-U11KL03_Gardner_B,U11KL03,2020,https://votebobgardner.com/,1,Republican,I,R
CO-OPX6491_Harris_Z,OPX6491,2020,NA,0,Independent,C,O
CO-876BZ7Y_Ginal_J,876BZ7Y,2020,http://joannginal.org/,1,Democrat,I,D
CO-MH4X319_Hochheimer_H,MH4X319,2020,http://www.hochheimer4senate.com/,1,Republican,C,R
CO-6QC4A38_Lewis_S,6QC4A38,2020,https://www.sonyaforcolorado.com/,1,Democrat,C,D
CO-FQX2976_Menza_M,FQX2976,2020,https://matthewmenzaforcolorado.com/,1,Republican,C,R
CO-3DW69K7_O'Connor_A,3DW69K7,2020,NA,0,Independent,C,O
CO-001BM1U_Fenberg_S,001BM1U,2020,https://stevefenberg.org/,1,Democrat,I,D
CO-1EJ626I_Cage_P,1EJ626I,2020,NA,0,Republican,C,R
CO-45HNJ65_Zenzinger_R,45HNJ65,2020,https://www.rachelforcolorado.com/,1,Democrat,I,D
CO-T501S4X_Gerber_L,T501S4X,2020,https://lynngerberforsd19.com/,1,Republican,C,R
CO-M38M72S_Moreno_D,M38M72S,2020,http://www.dominickmoreno.com/,1,Democrat,I,D
CO-R48S91Y_Mendez_M,R48S91Y,2020,http://electmendez.co/,1,Republican,C,R
CO-OC33E92_Boccella_S,OC33E92,2020,https://www.sallyforcolorado.com/,1,Democrat,C,D
CO-7R88WP0_Kirkmeyer_B,7R88WP0,2020,https://www.kirkmeyerforcolorado.com/,1,Republican,C,R
CO-8579SCQ_DiGiallonardo_M,8579SCQ,2020,NA,0,Independent,C,O
CO-03O31JK_Dickerson_P,03O31JK,2020,https://www.paulaforcolorado.com/,1,Democrat,C,D
CO-A298K8Y_Priola_K,A298K8Y,2020,https://www.kevinpriola.com/,1,Republican,I,R
CO-T918R6G_Bridges_J,T918R6G,2020,https://www.bridgesforcolorado.com/,1,Democrat,I,D
CO-T12K5N5_Roth_B,T12K5N5,2020,https://www.rothforsd26.com/,1,Republican,C,R
CO-12NV4D1_Solomon_M,12NV4D1,2020,NA,0,Independent,C,O
CO-XE9O709_Kolker_C,XE9O709,2020,https://sites.google.com/view/kolkerforcolorado/,1,Democrat,C,D
CO-5L43S3I_Staiert_S,5L43S3I,2020,https://www.suzannestaiert.com/,1,Republican,C,R
CO-54SZ0C3_Buckner_J,54SZ0C3,2020,http://janetbuckner.com/,1,Democrat,C,D
CO-9R5T5D9_Stecher_K,9R5T5D9,2020,https://stecher4senate.com/,1,Republican,C,R
CO-S9K781E_Fields_R,S9K781E,2020,https://www.rhondafields.com/,1,Democrat,I,D
CO-J7QU201_Poague_M,J7QU201,2020,NA,0,Independent,C,O
CO-1URO774_Hansen_C,1URO774,2020,http://hansenforcolorado.com/,1,Democrat,I,D
CO-RO70W41_Townsend_D,RO70W41,2020,https://dougtownsendforyou.com/,1,Republican,C,R
CO-6F9V7E6_Coleman_J,6F9V7E6,2020,http://colemanforcolorado.com/,1,Democrat,C,D
CO-0MV05F6_Burton_J,0MV05F6,2020,https://homeforallofus.com/,1,Independent,C,O
CO-97M5JC0_Lopez_C,97M5JC0,2020,https://www.carloslopezforcolorado.com/,1,Democrat,C,D
CO-B1S109K_Simpson_C,B1S109K,2020,https://www.simpsonforsenate35.com/,1,Republican,C,R
CT-1I50NO3_Fonfara_J,1I50NO3,2020,NA,0,Democrat,I,D
CT-93F9A6P_Ruhe_B,93F9A6P,2020,NA,0,Republican,C,R
CT-4Y5L2Q1_Sanders_M,4Y5L2Q1,2020,NA,0,Independent,C,O
CT-6E04I7T_McCrory_D,6E04I7T,2020,NA,0,Democrat,I,D
CT-9BD8Z32_Anwar_S,9BD8Z32,2020,NA,0,Democrat,I,D
CT-9BD8Z32_Anwar_S,9BD8Z32,2020,NA,0,Independent,I,O
CT-UHM0365_Cassano_S,UHM0365,2020,https://www.cassano2020.com/,1,Democrat,I,D
CT-02KW05I_Corey_M,02KW05I,2020,NA,0,Republican,C,R
CT-UHM0365_Cassano_S,UHM0365,2020,https://www.cassano2020.com/,1,Independent,I,O
CT-6OZ6V54_Harris_H,6OZ6V54,2020,NA,0,Independent,C,O
CT-H22K1S8_Green_K,H22K1S8,2020,https://www.kellygreen2020.com/,1,Independent,C,O
CT-65HEP48_Slap_D,65HEP48,2020,NA,0,Democrat,I,D
CT-OP775Y4_Chabot_P,OP775Y4,2020,https://philchabot.com/,1,Republican,C,R
CT-Q0987WQ_Nawrocki_J,Q0987WQ,2020,NA,0,Independent,C,O
CT-8A8QX26_Lopes_R,8A8QX26,2020,https://www.lopesforct.com/,1,Democrat,C,D
CT-WCC5638_Bizzarro_G,WCC5638,2020,https://bizzarro.nationbuilder.com/,1,Republican,I,R
CT-8A8QX26_Lopes_R,8A8QX26,2020,https://www.lopesforct.com/,1,Independent,C,O
CT-6Q70G8B_Moffa_F,6Q70G8B,2020,https://drmoffa2020.com/,1,Democrat,C,D
CT-08OF87K_Kissel_J,08OF87K,2020,NA,0,Republican,I,R
CT-08OF87K_Kissel_J,08OF87K,2020,NA,0,Independent,I,O
CT-6Q70G8B_Moffa_F,6Q70G8B,2020,https://drmoffa2020.com/,1,Independent,C,O
CT-PCO5302_Osborne_M,PCO5302,2020,https://www.melissaforct.com/,1,Democrat,C,D
CT-657RMH2_Witkos_K,657RMH2,2020,NA,0,Republican,I,R
CT-J455QQ8_McConnell_K,J455QQ8,2020,NA,0,Independent,C,O
CT-8G8L52C_Lesser_M,8G8L52C,2020,http://mattlesser.com/,1,Democrat,I,D
CT-15J34PK_Ruglio_R,15J34PK,2020,NA,0,Republican,C,R
CT-8G8L52C_Lesser_M,8G8L52C,2020,http://mattlesser.com/,1,Independent,I,O
CT-15J34PK_Ruglio_R,15J34PK,2020,NA,0,Independent,C,O
CT-GA197U7_Winfield_G,GA197U7,2020,NA,0,Democrat,I,D
CT-F52JC01_Alvarado_C,F52JC01,2020,https://www.carlosforct.com/,1,Republican,C,R
CT-GA197U7_Winfield_G,GA197U7,2020,NA,0,Independent,I,O
CT-349N0UL_Bartlett_J,349N0UL,2020,https://2020bartlett.com/,1,Independent,C,O
CT-6224GUW_Looney_M,6224GUW,2020,https://www.martinlooneyforct.com/,1,Democrat,I,D
CT-U3N5J38_White_J,U3N5J38,2020,https://www.jamesonforct.com/,1,Republican,C,R
CT-R308QZ7_Taubes_A,R308QZ7,2020,https://alexforctsenate.com/,1,Independent,C,O
CT-12LX1B7_Cohen_C,12LX1B7,2020,https://www.senatorcohen.com/,1,Democrat,I,D
CT-B2I951H_LaPorta_J,B2I951H,2020,https://laportaforct.com/,1,Republican,C,R
CT-12LX1B7_Cohen_C,12LX1B7,2020,https://www.senatorcohen.com/,1,Independent,I,O
CT-E62Q9T1_Abrams_M,E62Q9T1,2020,https://abramsforstatesenate.com/,1,Democrat,I,D
CT-WB473H9_Suzio_L,WB473H9,2020,https://suzio2020.com/,1,Republican,C,R
CT-E62Q9T1_Abrams_M,E62Q9T1,2020,https://abramsforstatesenate.com/,1,Independent,I,O
CT-WB473H9_Suzio_L,WB473H9,2020,https://suzio2020.com/,1,Independent,C,O
CT-3W1A6D0_Maroney_J,3W1A6D0,2020,https://www.maroneyforus.com/,1,Democrat,I,D
CT-99I4K4A_Southworth_M,99I4K4A,2020,https://southworthforsenate.com/,1,Republican,C,R
CT-3W1A6D0_Maroney_J,3W1A6D0,2020,https://www.maroneyforus.com/,1,Independent,I,O
CT-7BO926N_Hartley_J,7BO926N,2020,NA,0,Democrat,I,D
CT-7BO926N_Hartley_J,7BO926N,2020,NA,0,Independent,I,O
CT-1QE07W5_Perry_J,1QE07W5,2020,https://votejackperry.com/,1,Democrat,C,D
CT-45LIU92_Sampson_R,45LIU92,2020,https://sampsonforct.com/,1,Republican,I,R
CT-1QE07W5_Perry_J,1QE07W5,2020,https://votejackperry.com/,1,Independent,C,O
CT-N6L744G_Cabrera_J,N6L744G,2020,https://www.jorgecabreract.com/,1,Democrat,C,D
CT-US423J2_Logan_G,US423J2,2020,https://www.reelectlogan.com/,1,Republican,I,R
CT-US423J2_Logan_G,US423J2,2020,https://www.reelectlogan.com/,1,Independent,I,O
CT-N6L744G_Cabrera_J,N6L744G,2020,https://www.jorgecabreract.com/,1,Independent,C,O
CT-BB0124B_Statchen_R,BB0124B,2020,https://www.bobstatchen.com/,1,Democrat,C,D
CT-8H074JG_Somers_H,8H074JG,2020,https://heathersomers.com/,1,Republican,I,R
CT-BB0124B_Statchen_R,BB0124B,2020,https://www.bobstatchen.com/,1,Independent,C,O
CT-90Z1GN9_Osten_C,90Z1GN9,2020,NA,0,Democrat,I,D
CT-421B5SB_Weir_S,421B5SB,2020,https://steveweirforct.com/,1,Republican,C,R
CT-90Z1GN9_Osten_C,90Z1GN9,2020,NA,0,Independent,I,O
CT-B8G08C7_Russell_W,B8G08C7,2020,NA,0,Independent,C,O
CT-80J75RS_Marx_M,80J75RS,2020,https://www.martha2020.com/,1,Democrat,C,D
CT-7X63QW2_Formica_P,7X63QW2,2020,http://www.formicaforsenate.com/,1,Republican,I,R
CT-80J75RS_Marx_M,80J75RS,2020,https://www.martha2020.com/,1,Independent,C,O
CT-A6732FK_Taraya_J,A6732FK,2020,NA,0,Independent,C,O
CT-54CM7B0_Kelly_K,54CM7B0,2020,NA,0,Republican,I,R
CT-4NJ060E_Moore_M,4NJ060E,2020,NA,0,Democrat,I,D
CT-3N05G4F_Choi_S,3N05G4F,2020,https://votestevechoi.com/,1,Republican,C,R
CT-11N0L8U_Dincher_S,11N0L8U,2020,NA,0,Independent,C,O
CT-49TR8E8_Bradley_D,49TR8E8,2020,NA,0,Democrat,I,D
CT-QI423P6_Israel_J,QI423P6,2020,NA,0,Republican,C,R
CT-206OP8M_Kushner_J,206OP8M,2020,https://julie2020.com/,1,Democrat,I,D
CT-FUJ3410_Chapman_S,FUJ3410,2020,NA,0,Republican,C,R
CT-206OP8M_Kushner_J,206OP8M,2020,https://julie2020.com/,1,Independent,I,O
CT-FUJ3410_Chapman_S,FUJ3410,2020,NA,0,Independent,C,O
CT-C867VW2_Duff_B,C867VW2,2020,http://bobduff.com/,1,Democrat,I,D
CT-39S26ZM_Kousidis_E,39S26ZM,2020,https://www.kousidis4ctsenate.com/,1,Republican,C,R
CT-C867VW2_Duff_B,C867VW2,2020,http://bobduff.com/,1,Independent,I,O
CT-39S26ZM_Kousidis_E,39S26ZM,2020,https://www.kousidis4ctsenate.com/,1,Independent,C,O
CT-56VZ66O_Haskell_W,56VZ66O,2020,https://www.willhaskell.com/,1,Democrat,I,D
CT-07I2O4N_Healy_K,07I2O4N,2020,https://www.kimhealyforct.com/,1,Republican,C,R
CT-07I2O4N_Healy_K,07I2O4N,2020,https://www.kimhealyforct.com/,1,Independent,C,O
CT-FXM9194_Leone_C,FXM9194,2020,http://leoneforsenate.com/,1,Democrat,I,D
CT-P800UP5_Maldonado_E,P800UP5,2020,https://www.nowforus.org/,1,Republican,C,R
CT-P800UP5_Maldonado_E,P800UP5,2020,https://www.nowforus.org/,1,Independent,C,O
CT-8X0E04J_McCabe_M,8X0E04J,2020,https://michelleforct.com/,1,Democrat,C,D
CT-03N2Z8I_Hwang_T,03N2Z8I,2020,http://tonyhwang.org/,1,Republican,I,R
CT-03N2Z8I_Hwang_T,03N2Z8I,2020,http://tonyhwang.org/,1,Independent,I,O
CT-8X0E04J_McCabe_M,8X0E04J,2020,https://michelleforct.com/,1,Independent,C,O
CT-JQB0889_DeMatteo_C,JQB0889,2020,https://writeinchris.com/,1,Independent,C,O
CT-O4K572R_Flexer_M,O4K572R,2020,http://electmaeflexer.com/,1,Democrat,I,D
CT-1C13LM9_Alba_J,1C13LM9,2020,NA,0,Republican,C,R
CT-O4K572R_Flexer_M,O4K572R,2020,http://electmaeflexer.com/,1,Independent,I,O
CT-1C13LM9_Alba_J,1C13LM9,2020,NA,0,Independent,C,O
CT-54U68ED_Gronbach_D,54U68ED,2020,https://gronbach2020.com/,1,Democrat,C,D
CT-89CC28W_Miner_C,89CC28W,2020,NA,0,Republican,I,R
CT-54U68ED_Gronbach_D,54U68ED,2020,https://gronbach2020.com/,1,Independent,C,O
CT-A034GO7_Bongiorno_J,A034GO7,2020,NA,0,Independent,C,O
CT-6PJ246Q_Fortier_M,6PJ246Q,2020,https://www.maryfortier.com/,1,Democrat,C,D
CT-LB9480S_Martin_H,LB9480S,2020,NA,0,Republican,I,R
CT-LB9480S_Martin_H,LB9480S,2020,NA,0,Independent,I,O
